commit	val_bpb	memory_gb	status	description
383abb4	2.667000	26.9	keep	baseline (AdamW, default config)
c67ad2a	2.695369	26.9	discard	lower weight decay to 0.1
909dd59	2.588904	26.9	keep	halve total batch size to 2^16
4161af3	2.533728	26.9	keep	increase matrix LR to 0.04
5efc7aa	1.807902	20.7	keep	reduce depth from 8 to 4
fc1fa6d	2.322967	10.8	keep	Mac Mini baseline with final eval batch size 64
3237736	2.266713	10.3	keep	shrink MLP to 3x
00524b2	2.181477	10.3	keep	lower scalar lr to 0.3 after 3x MLP
b3b277b	2.183802	10.3	discard	sharpen sliding window to 1/4 context
9457693	2.268438	10.3	discard	lower scalar lr to 0.2 after 3x MLP
172ba13	2.073282	9.1	keep	remove logit cap after 3x MLP and scalar lr 0.3
451527c	2.348693	9.1	discard	lower weight decay to 0.1 after removing logit cap
d2eacb2	2.255643	9.1	discard	lower matrix lr to 0.03 after removing logit cap
6f3e6d4	2.344153	11.4	discard	widen aspect ratio to 96
a2930b0	2.262484	8.6	discard	shrink MLP to 2x
40ab5ed	2.114700	9.1	discard	raise scalar lr to 0.4
33c95c2	2.308124	9.1	discard	shorten warmdown to 30 percent
e409572	2.130255	9.1	discard	use two full attention layers
5de4b63	2.322955	9.1	discard	raise scalar lr to 0.35
